"id","title","original_title","overview","language_name","release_date","release_year","decade","popularity","vote_average","vote_count","runtime","runtime_category","primary_genre","genre_string","keywords_str","poster_url","is_hidden_gem"
"17888","Dasavatharam","தசாவதாரம்","Bio-technologist Govind K Somaiyya sets about on a precarious journey to India to retrieve a vial containing a deadly virus and prevent it from reaching the wrong hands of an ex-CIA agent and deadly assassins.","Tamil","2008-06-13","2008","2000","0.7401","6.5","58","188","Very Long","Action","Action, Adventure","reincarnation, tsunami, butterfly effect, chola emperor","https://image.tmdb.org/t/p/w500/iD6ilUABEPd1hbijxdWCYHSetoi.jpg","False"
"263475","Kaththi","கத்தி","Kathiresan aka Kaththi, a criminal, escapes from the Kolkata prison and comes to Chennai, where he comes across his doppelganger Jeevanandham, fighting for his life after being shot at by unknown men. Kathir decides to pass off as Jeeva and make away with a lump sum amount but once he realizes who Jeeva really is, Kathir turns a crusader.","Tamil","2014-10-22","2014","2010","0.8571","7.2","105","167","Very Long","Action","Action, Drama","village, farmer, corporate power, escaped prisoner","https://image.tmdb.org/t/p/w500/3Zp3VCEzDJGHwvMT7pXkPj2vuYm.jpg","False"
"300425","Lingaa","லிங்கா","After being turned down by the ruling Britons, the rightful heir to a famous dynasty inspires local villagers to build a dam themselves. A small-time thief reforms after learning about the role played by his grandfather in building a dam.","Tamil","2014-12-12","2014","2010","0.6715","5.2","63","174","Very Long","Action","Action, Comedy, Drama","","https://image.tmdb.org/t/p/w500/595P2VmfbSOegsfAWK9A5j9MFoG.jpg","False"
"504184","Chekka Chivantha Vaanam","செக்கச்சிவந்த வானம்","A bloody power struggle erupts between three brothers who are vying to take over the family business following the death of their father.","Tamil","2018-09-27","2018","2010","0.7375","6.5","53","143","Long","Action","Action, Crime, Thriller","gangster, mafia","https://image.tmdb.org/t/p/w500/kzwMj4FZdeH37I9u9FIbmkmI2Jx.jpg","False"
"607145","Rocketry: The Nambi Effect","Rocketry: The Nambi Effect","The story of the great Indian rocket scientist, Shri Nambi Narayanan's life, a true patriot, who was turned into a villain in the blink of an eye after being falsely accused of treason.","Tamil","2022-07-01","2022","2020","1.0558","7.603","58","154","Very Long","Drama","Drama, History","based on true story","https://image.tmdb.org/t/p/w500/o7A1agEoXvwyyOmIbHnUhfnC34j.jpg","False"
"202616","Thalaivaa","தலைவா","A mafia don sends his son out of the country because he doesn't want even a shadow of his life falling on him. Destiny wills otherwise. The son makes an innocuous trip to Mumbai to visit his dad. And ends up filling his father's large shoes.","Tamil","2013-08-20","2013","2010","0.8012","5.472","54","182","Very Long","Action","Action, Drama, Thriller","politics, community service, mafia, vigilantism, fight for justice","https://image.tmdb.org/t/p/w500/5h2SfwKTbbp0T21kjrOPU3QMaHn.jpg","False"
"411717","Bairavaa","பைரவா","A loan recovery agent takes on a corrupt head of an educational institution to save his girlfriend.​","Tamil","2017-01-12","2017","2010","0.5928","5.491","57","168","Very Long","Action","Action","loan officer, mass hero","https://image.tmdb.org/t/p/w500/qHWdlIGu1uZSgP9xSLg0L7yXuEP.jpg","False"
"191735","Singam 2","Singam 2","Picking up the storyline from where Singam ended, Duraisingam has gone undercover after meeting the Home Minister and is working as an NCC officer in a school in Thoothukudi. The only people who know about this operation are the Chief Minister and Home Minister apart from himself.","Tamil","2013-07-05","2013","2010","0.8783","5.814","59","166","Very Long","Action","Action, Comedy, Crime","smuggling (contraband), police, drug cartel, undercover cop, undercover operation","https://image.tmdb.org/t/p/w500/6ENAxfZz4IY2NPu89R1SGObjiWF.jpg","False"
"462718","Pariyerum Perumal","பரியேறும் பெருமாள்","A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.","Tamil","2018-09-28","2018","2010","0.6784","8.2","76","155","Very Long","Romance","Romance, Drama","honor killing, caste politics","https://image.tmdb.org/t/p/w500/78YoIO3gzkZPC1jotfDmolNDmgT.jpg","False"
"264038","Kaaka Muttai","காக்கா முட்டை","Two slum kids yearn to taste a pizza after being enticed by the pizza shop that has opened near their locality. What happens when they manage to find the money to buy one?","Tamil","2015-06-05","2015","2010","0.6486","7.8","63","109","Medium","Drama","Drama","children's story, children's adventure","https://image.tmdb.org/t/p/w500/xa8EJVtnxq6rMPBplGuv2BAS1pl.jpg","False"
"277875","Hello","Hello","Chandru's friends make fun of him as he does not have a girlfriend. He points out at a girl claiming that she is his girlfriend, due to which a number of unfortunate events take place in her life.","Tamil","1999-11-06","1999","1990","0.7488","6.2","51","158","Very Long","Romance","Romance, Drama","","https://image.tmdb.org/t/p/w500/uA8i38ri4MpaWI3Lcy7fnWOIZMK.jpg","False"
"452447","Spyder","ஸ்பைடர்","A surveillance expert who wants to help people comes across a foe who is the very definition of evil. Can he stop the man before he destroys everything?","Tamil","2017-09-27","2017","2010","0.5683","5.312","69","145","Long","Action","Action, Thriller, Crime","disaster, human made disaster","https://image.tmdb.org/t/p/w500/tjHOHJ8RtmUle2tSpyumEf4ryeh.jpg","False"
"1041580","The Elephant Whisperers","தி எலிபெண்ட் விசுபெரர்சு","Bomman and Bellie, a couple in south India, devote their lives to caring for an orphaned baby elephant named Raghu, forging a family like no other.","Tamil","2022-12-07","2022","2020","0.5073","7.284","141","40","Short","Documentary","Documentary","","https://image.tmdb.org/t/p/w500/rRn0Uj2WXal7FkWWyKK0bleQlOy.jpg","False"
"882397","Naai Sekar Returns","நாய் சேகர் Returns","Naai Sekar, who decides to make money by kidnapping dogs, learns about his pet dog which was taken away from their family during his childhood. Can he rescue his dog, which is considered as a lucky charm?","Tamil","2022-12-09","2022","2020","0.628","7.1","56","144","Long","Comedy","Comedy","","https://image.tmdb.org/t/p/w500/dUEFAV28aUzHmde24JmlgvBaHSg.jpg","False"
"415193","Imaikkaa Nodigal","இமைக்கா நொடிகள்","A CBI officer goes in search of a ruthless serial killer. Things get worse when the murderer targets the former and her family","Tamil","2018-08-30","2018","2010","0.4872","7.0","71","170","Very Long","Action","Action, Thriller, Drama, Crime","serial killer, cat and mouse, police investigation, psycho killer","https://image.tmdb.org/t/p/w500/mHkeMrAqW4TnRkeI1Xl8qwuGyPg.jpg","False"
"535657","U Turn","U Turn","When a flyover in the city becomes the hotbed of accidents, a young reporter decides to investigate the issue. Her quest for an answer would lead her into a web of intrigue, murder and mystery.","Tamil","2018-09-13","2018","2010","0.5985","6.824","54","129","Long","Thriller","Thriller, Horror, Crime","remake, vengeful ghost, flyover","https://image.tmdb.org/t/p/w500/d5wL2axBtieecnAD6X4HMgrkXGp.jpg","False"
"553456","Game Over","கேம் ஓவர்","Swapna, a nyctophobic game designer on a turbulent road to recovery from an incident that scarred her deeply, has to fight her inner demons to stay alive in the game called life.","Tamil","2019-06-14","2019","2010","0.5501","6.2","73","97","Medium","Thriller","Thriller, Mystery, Drama","post-traumatic stress disorder (ptsd), fight, murder, time loop, psychological thriller","https://image.tmdb.org/t/p/w500/cuC482gXCEGY9iDkAWp8OZmEU5L.jpg","False"
"139357","Pizza","பீட்சா","Michael, a pizza delivery boy, lives with Anu, an aspiring horror fiction writer. One day, on a delivery run, he goes to a bungalow, where mysterious events begin to unfold.","Tamil","2012-10-19","2012","2010","0.5347","6.9","79","127","Long","Thriller","Thriller, Comedy, Romance, Horror","supernatural","https://image.tmdb.org/t/p/w500/ojC9NacZhfSwUn9aAMXUtDLV52e.jpg","False"
